paragraphs_count;sentences_count;words_count;letters_count;total_question_marks;total_punctuation_signs;name;author
32;102;1461;8010;0;359;./data/A_I_Kuprin\Allez! (Куприн).txt;A_I_Kuprin
24;76;916;5122;0;172;./data/A_I_Kuprin\Аль-Исса (Куприн).txt;A_I_Kuprin
66;203;2274;12390;7;644;./data/A_I_Kuprin\Анафема (Куприн).txt;A_I_Kuprin
36;176;3260;17217;3;705;./data/A_I_Kuprin\Без заглавия (Куприн).txt;A_I_Kuprin
50;180;2503;13015;9;588;./data/A_I_Kuprin\Бонза (Куприн).txt;A_I_Kuprin
57;210;2251;12322;30;635;./data/A_I_Kuprin\Бред (Куприн).txt;A_I_Kuprin
22;79;777;4476;7;225;./data/A_I_Kuprin\Брильянты (Куприн).txt;A_I_Kuprin
51;157;1948;10614;3;433;./data/A_I_Kuprin\В зверинце (Куприн).txt;A_I_Kuprin
95;309;2483;13914;41;769;./data/A_I_Kuprin\В казарме (Куприн).txt;A_I_Kuprin
23;121;1208;6185;14;309;./data/A_I_Kuprin\В клетке зверя (Куприн).txt;A_I_Kuprin
83;289;3673;20300;11;901;./data/A_I_Kuprin\В недрах земли (Куприн).txt;A_I_Kuprin
60;215;3259;18032;31;776;./data/A_I_Kuprin\Волшебный ковёр (Куприн).txt;A_I_Kuprin
34;167;1885;9750;17;473;./data/A_I_Kuprin\Воробей (Куприн).txt;A_I_Kuprin
48;204;1654;8440;26;502;./data/A_I_Kuprin\Гоголь-моголь (Куприн).txt;A_I_Kuprin
29;74;780;3877;1;192;./data/A_I_Kuprin\Демир-Кая (Куприн).txt;A_I_Kuprin
57;143;1414;7587;23;435;./data/A_I_Kuprin\Детский сад (Куприн).txt;A_I_Kuprin
111;340;4462;24908;22;1110;./data/A_I_Kuprin\Дочь великого Барнума (Куприн).txt;A_I_Kuprin
99;204;1239;6845;35;484;./data/A_I_Kuprin\Друзья (Куприн).txt;A_I_Kuprin
336;1259;17091;92012;111;4039;./data/A_I_Kuprin\Жидкое солнце (Куприн).txt;A_I_Kuprin
19;172;972;5480;0;331;./data/A_I_Kuprin\Жизнь (Куприн).txt;A_I_Kuprin
147;300;3417;18700;36;1078;./data/A_I_Kuprin\Жрец (Куприн).txt;A_I_Kuprin
34;156;2016;10579;10;467;./data/A_I_Kuprin\Игрушка (Куприн).txt;A_I_Kuprin
33;114;1361;6949;6;335;./data/A_I_Kuprin\Инна (Куприн).txt;A_I_Kuprin
11;11;53;306;1;19;./data/A_I_Kuprin\Искусство (Куприн).txt;A_I_Kuprin
